Hostname,Version,N,BlockSizeX,BlockSizeY,Time,AvgConcU,AvgConcV
wn201.arnes.si,advanced,256,8,8,0.672873,0.863479,0.067260
wn201.arnes.si,advanced,512,8,8,0.694530,0.934777,0.032148
wn201.arnes.si,advanced,1024,8,8,0.801011,0.972184,0.013745
wn201.arnes.si,advanced,2048,8,8,1.135802,0.988516,0.005703
wn201.arnes.si,advanced,4096,8,8,2.515532,0.994831,0.002542
wn201.arnes.si,advanced,256,16,16,0.668805,0.863479,0.067260
wn201.arnes.si,advanced,512,16,16,0.661799,0.934777,0.032148
wn201.arnes.si,advanced,1024,16,16,0.708451,0.972184,0.013745
wn201.arnes.si,advanced,2048,16,16,0.921484,0.988516,0.005703
wn201.arnes.si,advanced,4096,16,16,1.718794,0.994831,0.002542
wn201.arnes.si,advanced,256,24,24,0.685844,0.863479,0.067260
wn201.arnes.si,advanced,512,24,24,0.661304,0.934777,0.032148
wn201.arnes.si,advanced,1024,24,24,0.720171,0.972184,0.013745
wn201.arnes.si,advanced,2048,24,24,0.908773,0.988516,0.005703
wn201.arnes.si,advanced,4096,24,24,1.646900,0.994831,0.002542
wn201.arnes.si,advanced,256,32,32,0.667625,0.863479,0.067260
wn201.arnes.si,advanced,512,32,32,0.640788,0.934777,0.032148
wn201.arnes.si,advanced,1024,32,32,0.699647,0.972184,0.013745
wn201.arnes.si,advanced,2048,32,32,0.895833,0.988516,0.005703
wn201.arnes.si,advanced,4096,32,32,1.600100,0.994831,0.002542
