Hostname,Type,GridSize,Cores,Time
gwn02.arnes.si,advanced,256,64,0.190364
gwn02.arnes.si,advanced,256,16,0.246068
gwn02.arnes.si,advanced,256,4,0.552313
gwn02.arnes.si,advanced,256,1,1.888265
gwn02.arnes.si,advanced,512,64,0.293939
gwn02.arnes.si,advanced,512,16,0.505642
gwn02.arnes.si,advanced,512,4,1.342056
gwn02.arnes.si,advanced,512,1,5.126188
gwn02.arnes.si,advanced,1024,64,0.833749
gwn02.arnes.si,advanced,1024,16,1.781327
gwn02.arnes.si,advanced,1024,4,4.217828
gwn02.arnes.si,advanced,1024,1,18.652328
gwn02.arnes.si,advanced,2048,64,3.117379
gwn02.arnes.si,advanced,2048,16,5.507977
gwn02.arnes.si,advanced,2048,4,17.030533
gwn02.arnes.si,advanced,2048,1,63.323465
gwn02.arnes.si,advanced,4096,64,15.367411
gwn02.arnes.si,advanced,4096,16,21.512094
gwn02.arnes.si,advanced,4096,4,64.566372
gwn02.arnes.si,advanced,4096,1,243.162012
gwn03.arnes.si,par_gray_scott,256,64,0.332679
gwn03.arnes.si,par_gray_scott,256,16,0.380018
gwn03.arnes.si,par_gray_scott,256,4,0.960587
gwn03.arnes.si,par_gray_scott,256,1,3.105427
gwn03.arnes.si,par_gray_scott,512,64,0.573490
gwn03.arnes.si,par_gray_scott,512,16,0.940172
gwn03.arnes.si,par_gray_scott,512,4,2.584726
gwn03.arnes.si,par_gray_scott,512,1,8.490182
gwn03.arnes.si,par_gray_scott,1024,64,1.461687
gwn03.arnes.si,par_gray_scott,1024,16,2.647528
gwn03.arnes.si,par_gray_scott,1024,4,8.997667
gwn03.arnes.si,par_gray_scott,1024,1,29.598702
gwn03.arnes.si,par_gray_scott,2048,64,4.075348
gwn03.arnes.si,par_gray_scott,2048,16,8.738751
gwn03.arnes.si,par_gray_scott,2048,4,31.039882
gwn03.arnes.si,par_gray_scott,2048,1,109.866263
gwn03.arnes.si,par_gray_scott,4096,64,14.782066
gwn03.arnes.si,par_gray_scott,4096,16,30.842784
gwn03.arnes.si,par_gray_scott,4096,4,110.220787
gwn03.arnes.si,par_gray_scott,4096,1,424.444467
wn219.arnes.si,par_gray_scott,256,16,0.923441
wn219.arnes.si,par_gray_scott,256,4,2.059689
wn219.arnes.si,par_gray_scott,256,1,4.723635
wn219.arnes.si,par_gray_scott,512,16,2.356356
wn219.arnes.si,par_gray_scott,512,4,4.341198
wn219.arnes.si,par_gray_scott,512,1,14.023922
wn219.arnes.si,par_gray_scott,1024,16,6.975308
wn219.arnes.si,par_gray_scott,1024,4,14.383240
wn219.arnes.si,par_gray_scott,1024,1,50.619834
wn219.arnes.si,par_gray_scott,2048,16,25.142042
wn219.arnes.si,par_gray_scott,2048,4,51.935464
wn219.arnes.si,par_gray_scott,2048,1,194.996368
wn219.arnes.si,par_gray_scott,4096,16,99.287577
wn219.arnes.si,par_gray_scott,4096,4,204.013831
wn219.arnes.si,par_gray_scott,4096,1,764.324849
wn217.arnes.si,advanced,256,16,0.574430
wn217.arnes.si,advanced,256,4,1.221498
wn217.arnes.si,advanced,256,1,2.945706
wn217.arnes.si,advanced,512,16,1.424012
wn217.arnes.si,advanced,512,4,2.510394
wn217.arnes.si,advanced,512,1,6.719804
wn217.arnes.si,advanced,1024,16,3.506419
wn217.arnes.si,advanced,1024,4,6.398580
wn217.arnes.si,advanced,1024,1,23.057420
wn217.arnes.si,advanced,2048,16,10.447441
wn217.arnes.si,advanced,2048,4,23.063332
wn217.arnes.si,advanced,2048,1,74.109211
wn217.arnes.si,advanced,4096,16,109.033705
wn217.arnes.si,advanced,4096,4,76.479531
wn217.arnes.si,advanced,4096,1,285.501479
